40.706554, -74.013115, 0.0, 1311004065, 50, New York, NY
40.706554, -74.013115, 0.0, 1311004073, 50, New York, NY
40.706554, -74.013115, 0.0, 1311004161, 50, New York, NY
40.706554, -74.013115, 0.0, 1311004169, 50, New York, NY
40.706554, -74.013115, 0.0, 1311004728, 50, New York, NY
40.706554, -74.013115, 0.0, 1311005162, 50, New York, NY
40.706554, -74.013115, 0.0, 1311005249, 50, New York, NY
40.706554, -74.013115, 0.0, 1311005274, 50, New York, NY
40.706554, -74.013115, 0.0, 1311005288, 50, New York, NY
40.706554, -74.013115, 0.0, 1311005517, 50, New York, NY
40.706554, -74.013115, 0.0, 1311005723, 50, New York, NY
40.7624, -73.97348, 0.0, 1311081615, 50, New York, NY
40.7624, -73.97348, 0.0, 1311081639, 50, New York, NY
40.7624, -73.97348, 0.0, 1311081909, 50, New York, NY
40.7624, -73.97348, 0.0, 1311082060, 50, New York, NY
40.7624, -73.97348, 0.0, 1311082118, 50, New York, NY
40.7624, -73.97348, 0.0, 1311082212, 50, New York, NY
40.77651, -73.9754, 0.0, 1311083922, 50, New York, NY
40.77651, -73.9754, 0.0, 1311084403, 50, New York, NY
40.77651, -73.9754, 0.0, 1311084737, 50, New York, NY
40.77651, -73.9754, 0.0, 1311084744, 50, New York, NY
40.785732, -73.96207, 0.0, 1311084958, 50, New York, NY
40.785732, -73.96207, 0.0, 1311084973, 50, New York, NY
40.785732, -73.96207, 0.0, 1311085067, 50, New York, NY
40.785732, -73.96207, 0.0, 1311085077, 50, New York, NY
40.785732, -73.96207, 0.0, 1311086303, 50, New York, NY
40.785732, -73.96207, 0.0, 1311086339, 50, New York, NY
40.77901, -73.962524, 0.0, 1311086810, 50, New York, NY
40.77901, -73.962524, 0.0, 1311086909, 50, New York, NY
40.77901, -73.962524, 0.0, 1311086972, 50, New York, NY
40.77901, -73.962524, 0.0, 1311087412, 50, New York, NY
40.77901, -73.962524, 0.0, 1311087423, 50, New York, NY
40.77901, -73.962524, 0.0, 1311087613, 50, New York, NY
40.77901, -73.962524, 0.0, 1311087799, 50, New York, NY
40.77901, -73.962524, 0.0, 1311088406, 50, New York, NY
40.77901, -73.962524, 0.0, 1311088824, 50, New York, NY
40.77901, -73.962524, 0.0, 1311088972, 50, New York, NY
40.77901, -73.962524, 0.0, 1311089358, 50, New York, NY
40.77901, -73.962524, 0.0, 1311089849, 50, New York, NY
40.77901, -73.962524, 0.0, 1311089946, 50, New York, NY
40.77901, -73.962524, 0.0, 1311089973, 50, New York, NY
40.77901, -73.962524, 0.0, 1311090750, 50, New York, NY
40.77901, -73.962524, 0.0, 1311090973, 50, New York, NY
40.77901, -73.962524, 0.0, 1311091667, 50, New York, NY
40.77901, -73.962524, 0.0, 1311091730, 50, New York, NY
40.77901, -73.962524, 0.0, 1311092300, 50, New York, NY
40.77901, -73.962524, 0.0, 1311092378, 50, New York, NY
40.77901, -73.962524, 0.0, 1311093530, 50, New York, NY
40.77901, -73.962524, 0.0, 1311094092, 50, New York, NY
40.77901, -73.962524, 0.0, 1311094235, 50, New York, NY
40.77901, -73.962524, 0.0, 1311094247, 50, New York, NY
40.77901, -73.962524, 0.0, 1311095925, 50, New York, NY
40.77901, -73.962524, 0.0, 1311096218, 50, New York, NY
40.77901, -73.962524, 0.0, 1311096318, 50, New York, NY
40.77901, -73.962524, 0.0, 1311096502, 50, New York, NY
40.77901, -73.962524, 0.0, 1311096580, 50, New York, NY
40.77901, -73.962524, 0.0, 1311096774, 50, New York, NY
40.77901, -73.962524, 0.0, 1311096842, 50, New York, NY
40.77901, -73.962524, 0.0, 1311097265, 50, New York, NY
40.77901, -73.962524, 0.0, 1311097658, 50, New York, NY
40.77901, -73.962524, 0.0, 1311097663, 50, New York, NY
40.77901, -73.962524, 0.0, 1311098124, 50, New York, NY
40.77901, -73.962524, 0.0, 1311098588, 50, New York, NY
40.77901, -73.962524, 0.0, 1311099413, 50, New York, NY
40.762314, -73.97217, 0.0, 1311101592, 50, New York, NY
40.762314, -73.97217, 0.0, 1311102404, 50, New York, NY
40.762314, -73.97217, 0.0, 1311102776, 50, New York, NY
40.762314, -73.97217, 0.0, 1311103385, 50, New York, NY
40.762314, -73.97217, 0.0, 1311103778, 50, New York, NY
40.762314, -73.97217, 0.0, 1311103912, 50, New York, NY
40.762314, -73.97217, 0.0, 1311103925, 50, New York, NY
40.762314, -73.97217, 0.0, 1311104064, 50, New York, NY
40.762314, -73.97217, 0.0, 1311104359, 50, New York, NY
40.762314, -73.97217, 0.0, 1311104368, 50, New York, NY
40.762314, -73.97217, 0.0, 1311104502, 50, New York, NY
40.762314, -73.97217, 0.0, 1311104522, 50, New York, NY
40.762314, -73.97217, 0.0, 1311104631, 50, New York, NY
40.762314, -73.97217, 0.0, 1311104738, 50, New York, NY
40.762314, -73.97217, 0.0, 1311105335, 50, New York, NY
40.762314, -73.97217, 0.0, 1311105668, 50, New York, NY
40.762314, -73.97217, 0.0, 1311105775, 50, New York, NY
40.762314, -73.97217, 0.0, 1311107662, 50, New York, NY
40.746056, -73.98488, 0.0, 1311172799, 50, New York, NY
40.746056, -73.98488, 0.0, 1311172807, 50, New York, NY
40.746056, -73.98488, 0.0, 1311172830, 50, New York, NY
40.746056, -73.98488, 0.0, 1311173136, 50, New York, NY
40.746056, -73.98488, 0.0, 1311173148, 50, New York, NY
40.746056, -73.98488, 0.0, 1311173582, 50, New York, NY
40.746056, -73.98488, 0.0, 1311175544, 50, New York, NY
40.746056, -73.98488, 0.0, 1311177116, 50, New York, NY
40.746056, -73.98488, 0.0, 1311177225, 50, New York, NY
40.746056, -73.98488, 0.0, 1311177483, 50, New York, NY
40.746395, -73.99854, 0.0, 1311178943, 50, New York, NY
40.746395, -73.99854, 0.0, 1311178948, 50, New York, NY
40.746395, -73.99854, 0.0, 1311179233, 50, New York, NY
40.746395, -73.99854, 0.0, 1311179271, 50, New York, NY
40.746395, -73.99854, 0.0, 1311179284, 50, New York, NY
40.746395, -73.99854, 0.0, 1311181054, 50, New York, NY
40.746395, -73.99854, 0.0, 1311181252, 50, New York, NY
40.746395, -73.99854, 0.0, 1311182300, 50, New York, NY
40.746395, -73.99854, 0.0, 1311182703, 50, New York, NY
40.746395, -73.99854, 0.0, 1311182781, 50, New York, NY
40.746395, -73.99854, 0.0, 1311182848, 50, New York, NY
40.746395, -73.99854, 0.0, 1311183172, 50, New York, NY
40.746395, -73.99854, 0.0, 1311183309, 50, New York, NY
40.746395, -73.99854, 0.0, 1311183376, 50, New York, NY
40.746395, -73.99854, 0.0, 1311183679, 50, New York, NY
40.746395, -73.99854, 0.0, 1311183778, 50, New York, NY
40.746395, -73.99854, 0.0, 1311183867, 50, New York, NY
40.746395, -73.99854, 0.0, 1311183961, 50, New York, NY
40.746395, -73.99854, 0.0, 1311184113, 50, New York, NY
40.746395, -73.99854, 0.0, 1311184128, 50, New York, NY
40.746395, -73.99854, 0.0, 1311184188, 50, New York, NY
